,Riesling,Pinot Noir,Syrah,Bordeaux,Cabernet,Red Blend,Chardonnay,Sauvignon Blanc,Rosé,Merlot
Argentina,86.0,85.61,85.79,89.85,86.06,88.42,84.94,84.35,84.08,85.03
Australia,88.98,87.35,91.62,89.14,89.23,87.83,87.34,87.02,87.25,85.74
Austria,91.5,90.43,89.0,90.5,87.4,90.09,90.19,89.51,88.02,91.5
Chile,86.0,85.92,88.0,90.14,86.68,88.95,85.14,85.97,84.23,85.26
France,90.66,89.77,89.88,88.16,85.43,88.13,89.3,88.42,87.29,86.58
Germany,90.08,89.44,,,,86.75,89.4,,89.0,
Italy,87.91,86.83,88.87,89.5,89.18,88.85,88.23,86.84,86.02,89.59
Portugal,87.67,88.2,88.77,93.0,88.4,88.57,87.65,86.7,84.6,88.75
Spain,82.0,87.0,88.47,86.89,87.21,88.14,84.82,84.36,84.85,84.93
US,87.96,89.61,89.43,89.69,89.03,87.85,88.45,87.48,87.23,87.38
